For Warrick,"1. CSI: Crime Scene Investigation (2000–2015) Episode: For Warrick (2008) TV-14 | 45 min | Crime, Drama, Mystery 9.0 Rate this CSIs past and present come together at the news of Warrick's death. But will Warrick's real killer successfully frame another police officer for his murder? Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 1,083"
"Turn, Turn, Turn","12. CSI: Crime Scene Investigation (2000–2015) Episode: Turn, Turn, Turn (2009) TV-14 | 44 min | Crime, Drama, Mystery 8.6 Rate this Nick volunteers on his birthday to take a case involving a 16-year-old girl found dead in the parking lot of a seedy hotel, because he got to know the girl while investigating other cases at the hotel over the last year. Director: Richard J. Lewis | Stars: Laurence Fishburne , Marg Helgenberger , George Eads , Eric Szmanda Votes: 942"
Ending Happy,"13. CSI: Crime Scene Investigation (2000–2015) Episode: Ending Happy (2007) TV-14 | 60 min | Crime, Drama, Mystery 8.6 Rate this A washed-up boxer is found dead at a nearby bordello. There are several suspects, motives, and signs of injury. But the medical examiner is having a hard time figuring out which blow was the actual cause of death. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 966"
Built to Kill: Part 2,"14. CSI: Crime Scene Investigation (2000–2015) Episode: Built to Kill: Part 2 (2006) TV-14 | 43 min | Crime, Drama, Mystery 8.6 Rate this Gil investigates the murder of a rock star, which is complicated by the discovery of a miniature replica of the crime scene at the house. And Catherine tries to determine if she was raped after waking up nude in a seedy hotel. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 879"
Lady Heather's Box,"15. CSI: Crime Scene Investigation (2000–2015) Episode: Lady Heather's Box (2003) TV-14 | 85 min | Crime, Drama, Mystery 8.6 Rate this Two male prostitutes are found dead, one in a night club and the other in his own home. They both worked for Lady Heather so Gil Grissom and Jim Brass pay another visit to her house. ... See full summary » Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 897"
19 Down,"16. CSI: Crime Scene Investigation (2000–2015) Episode: 19 Down (2008) TV-14 | 55 min | Crime, Drama, Mystery 8.5 Rate this When a new murder leads to a connection with an infamous serial killer, Grissom secretly joins the class of well-known criminal pathologist Dr. Raymond Langston to gain access to the killer and get a crack in the case. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , George Eads , Eric Szmanda Votes: 746"
Loco Motives,"17. CSI: Crime Scene Investigation (2000–2015) Episode: Loco Motives (2006) TV-PG | 43 min | Crime, Drama, Mystery 8.5 Rate this Gil finds a third miniature crime-scene replica at a murder site, and CSI tries to find a link between the three otherwise-unrelated murders. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 807"
What's Eating Gilbert Grissom?,"18. CSI: Crime Scene Investigation (2000–2015) Episode: What's Eating Gilbert Grissom? (2004) TV-14 | 45 min | Crime, Drama, Mystery 8.5 Rate this Starting in 1987, three murders were committed on the Western Las Vegas University campus, one of which provided Catherine Willows to investigate a suspect - John Mathers, security guard of... See full summary » Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 825"
The Finger,"19. CSI: Crime Scene Investigation (2000–2015) Episode: The Finger (2002) TV-PG | 44 min | Crime, Drama, Mystery 8.5 Rate this Wealthy Roy Logan acts suspiciously when withdrawing $1,000,000 cash and his blood on his hands, but must be released for lack of a crime. When Catherine rushes after him with his ... See full summary » Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 867"
Identity Crisis,"20. CSI: Crime Scene Investigation (2000–2015) Episode: Identity Crisis (2002) TV-14 | 45 min | Crime, Drama, Mystery 8.5 Rate this A staged suicide harks the return of a serial killer. Catherine and Gil Grissom, while at court, finds the the residing judge looks exactly like this killer. Grissom investigates the judge's past and finds a startling answer. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 876"
Grave Danger (2),"21. CSI: Crime Scene Investigation (2000–2015) Episode: Grave Danger (2) (2005) TV-14 | 85 min | Crime, Drama, Mystery 8.5 Rate this With its desperate attempt to ransom Nick's release failed by their enemy's fanatical revenge, the CSI team must use all their investigative talents to find Nick, whose perilous situation is becoming all the more horrific by the minute. Director: Quentin Tarantino | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 2,574"
Grave Danger (1),"22. CSI: Crime Scene Investigation (2000–2015) Episode: Grave Danger (1) (2005) TV-14 | 85 min | Crime, Drama, Mystery 8.5 Rate this While investigating a case, Nick is abducted and is buried alive in a special coffin while his team takes unorthodox steps to try to find him. Director: Quentin Tarantino | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 2,869"
A Bullet Runs Through It: Part 2,"23. CSI: Crime Scene Investigation (2000–2015) Episode: A Bullet Runs Through It: Part 2 (2005) TV-14 | 44 min | Crime, Drama, Mystery 8.5 Rate this The CSIs continue to process the evidence collected from the high-speed chase. They must also find the bullet which killed a police officer to determine who shot him. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 789"
Forget Me Not,"24. CSI: Crime Scene Investigation (2000–2015) Episode: Forget Me Not (2013) TV-14 | 44 min | Crime, Drama, Mystery 8.4 Rate this The evidence suggests that Sara is guilty of stabbing a man to death in a hotel room, but she insists that somebody is framing her. Director: Karen Gaviola | Stars: Ted Danson , Elisabeth Shue , George Eads , Jorja Fox Votes: 455"
Appendicitement,"25. CSI: Crime Scene Investigation (2000–2015) Episode: Appendicitement (2009) TV-14 | 60 min | Crime, Drama, Mystery 8.4 Rate this Henry's surprise birthday party turns into disaster when the guys discover a dead body in a shut-down, out-of-the-way barbecue joint. Back in the lab, Dr. Langston discovers that ""Dr. Jeckyl"" has struck again. Director: Kenneth Fink | Stars: Laurence Fishburne , Marg Helgenberger , George Eads , Eric Szmanda Votes: 708"
Lab Rats,"26. CSI: Crime Scene Investigation (2000–2015) Episode: Lab Rats (2007) TV-PG | 44 min | Crime, Drama, Mystery 8.4 Rate this With Grissom out of his office and all of the detectives out in the field, Hodges and the lab other techs try to discover new clues in the miniature killer case. Director: Brad Tanenbaum | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 852"
Living Legend,"27. CSI: Crime Scene Investigation (2000–2015) Episode: Living Legend (2006) TV-14 | 41 min | Crime, Drama, Mystery 8.4 Rate this The team searches for a link between a current string of murders in Las Vegas and a notorious mob boss who disappeared in the 1970s. Director: Martha Coolidge | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 881"
Fannysmackin',"28. CSI: Crime Scene Investigation (2000–2015) Episode: Fannysmackin' (2006) TV-PG | 42 min | Crime, Drama, Mystery 8.4 Rate this A gang of street thugs is beating and killing people all over the city. Greg witnesses one of the crimes taking place and becomes a beating victim himself. Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 918"
Rashomama,"29. CSI: Crime Scene Investigation (2000–2015) Episode: Rashomama (2006) TV-14 | 45 min | Crime, Drama, Mystery 8.4 Rate this A criminal defense lawyer is murdered at her son's wedding and tied to the back of a car with beer cans. It is later revealed that she had a bad attitude at the bride, the groom's father, and basically everyone else. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 900"
The Strip Strangler,"30. CSI: Crime Scene Investigation (2000–2015) Episode: The Strip Strangler (2001) TV-14 | 46 min | Crime, Drama, Mystery 8.4 Rate this There's a serial killer on the loose in Las Vegas. Since this is a very high-profile case, the sheriff brings in the FBI to help. This annoys Grissom very much as the FBIs like to assume ... See full summary » Director: Danny Cannon | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 856"
The Accused Is Entitled,"31. CSI: Crime Scene Investigation (2000–2015) Episode: The Accused Is Entitled (2002) TV-14 | 45 min | Crime, Drama, Mystery 8.4 Rate this Hollywood sex symbol Tom Haviland admits having had sex with a girl who is found in the same casino hotel, throat fatally pierced with a corkscrew. As he failed to clean up, the team ... See full summary » Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 838"
Stalker,"32. CSI: Crime Scene Investigation (2000–2015) Episode: Stalker (2002) TV-PG | 45 min | Crime, Drama, Mystery 8.4 Rate this A young woman is found dead inside a heavily secured house. The position of her body strikes a chord in Nick's memory, prompting him to believe that he might be the next target. Director: Peter Markle | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 900"
Jackpot,"33. CSI: Crime Scene Investigation (2000–2015) Episode: Jackpot (2003) TV-14 | 45 min | Crime, Drama, Mystery 8.4 Rate this The sheriff of desolate town Jackpot calls in CSI for assistance after a severed head is found. The sheriff proves rather more cynical than helpful towards Grissom, unlike the ... See full summary » Director: Danny Cannon | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 807"
Inside the Box,"34. CSI: Crime Scene Investigation (2000–2015) Episode: Inside the Box (2003) TV-14 | 44 min | Crime, Drama, Mystery 8.4 Rate this A bank robbery results in the death of Detective Lockwood. No money was stolen. The only missing thing is one safety deposit box registered to a friend of Sam Braun. Catherine Willows ... See full summary » Director: Danny Cannon | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 748"
A Bullet Runs Through It: Part 1,"35. CSI: Crime Scene Investigation (2000–2015) Episode: A Bullet Runs Through It: Part 1 (2005) TV-14 | 41 min | Crime, Drama, Mystery 8.4 Rate this After a massive shootout between the LVPD and a Latin American mob gang, the CSI team have to find and process hundreds of bullets to determine exactly what happened. Director: Danny Cannon | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 759"
Bloodlines,"36. CSI: Crime Scene Investigation (2000–2015) Episode: Bloodlines (2004) TV-PG | 44 min | Crime, Drama, Mystery 8.4 Rate this A rape victim identifies her attacker from a line-up, after correctly giving the investigators his license plate number and physical description. While DNA is recovered, it indicates that ... See full summary » Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 767"
4x4,"37. CSI: Crime Scene Investigation (2000–2015) Episode: 4x4 (2005) TV-14 | 45 min | Crime, Drama, Mystery 8.4 Rate this This episode chronicles four crimes which are in themselves interconnected. One involves a stolen Hummer truck which was recently won by a couple from a convention where a dead woman was ... See full summary » Director: Terrence O'Hara | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 742"
Homecoming,"38. CSI: Crime Scene Investigation (2000–2015) Episode: Homecoming (2012) TV-14 | 44 min | Crime, Drama, Mystery 8.3 Rate this As the team investigates a drug-related triple homicide, they uncover a complex web of corruption in the sheriff's department that leads all the way back to a long-forgotten, unlikely source. Director: Alec Smight | Stars: Ted Danson , Elisabeth Shue , George Eads , Jorja Fox Votes: 576"
The Unusual Suspect,"39. CSI: Crime Scene Investigation (2000–2015) Episode: The Unusual Suspect (2006) TV-14 | 55 min | Crime, Drama, Mystery 8.3 Rate this A teenage boy, Marlon, is being prosecuted for a murder of one of his female classmates, Stacey. During his trial, his 12-year-old sister Hannah takes the stand, and admits that she herself... See full summary » Director: Alec Smight | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 837"
Unfriendly Skies,"40. CSI: Crime Scene Investigation (2000–2015) Episode: Unfriendly Skies (2000) TV-14 | 45 min | Crime, Drama, Mystery 8.3 Rate this The team investigates the death of a passenger aboard a commercial airliner. Grissom, Sara and Nick explore the evidence on the aircraft while Catherine and Warrick interview the passengers... See full summary » Director: Michael Shapiro | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 945"
Pirates of the Third Reich,"41. CSI: Crime Scene Investigation (2000–2015) Episode: Pirates of the Third Reich (2006) TV-14 | 44 min | Crime, Drama, Mystery 8.3 Rate this A half-naked woman is found half buried in the desert with a branding on her arm. She has no hair and is missing her right hand. The woman turns out to be Lady Heather's estranged daughter.... See full summary » Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 838"
Butterflied,"42. CSI: Crime Scene Investigation (2000–2015) Episode: Butterflied (2004) TV-14 | 45 min | Crime, Drama, Mystery 8.3 Rate this A nurse is found dead in her house by her friend, who's also a nurse. The victim died in her spacious bathroom, posed with her head facing the door. According to the friend, she was to have... See full summary » Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 814"
Genetic Disorder,"43. CSI: Crime Scene Investigation (2000–2015) Episode: Genetic Disorder (2011) TV-14 | 44 min | Crime, Drama, Mystery 8.2 Rate this When a genealogist is found dead in Dr. Robbins' bed, the team works on the theory that his wife may have been cheating even though she maintains her innocence. Director: Frank Waldeck | Stars: Ted Danson , Marg Helgenberger , George Eads , Jorja Fox Votes: 634"
Lost & Found,"44. CSI: Crime Scene Investigation (2000–2015) Episode: Lost & Found (2010) TV-14 | 60 min | Crime, Drama, Mystery 8.2 Rate this An unsolved case from Captain Brass's past reemerges when the mother searching for her missing family is hit by a car, but neither may be prepared for the disturbing answers that emerge in the case. Director: Frank Waldeck | Stars: Laurence Fishburne , Marg Helgenberger , George Eads , Eric Szmanda Votes: 656"
Sqweegel,"45. CSI: Crime Scene Investigation (2000–2015) Episode: Sqweegel (2010) TV-14 | 60 min | Crime, Drama, Mystery 8.2 Rate this A well-known Las Vegas philanthropist is brutally slashed in her bed, and the team soon discovers that it is dealing with a killer who knows the secrets of some of the city's most prominent citizens. Director: Jeffrey G. Hunt | Stars: Laurence Fishburne , Marg Helgenberger , George Eads , Jorja Fox Votes: 777"
Family Affair,"46. CSI: Crime Scene Investigation (2000–2015) Episode: Family Affair (2009) TV-PG | 60 min | Crime, Drama, Mystery 8.2 Rate this A young Hollywood actress is killed in what appears to be a simple drunk driving collision, but the team soon suspects that there is more to the case than meets the eye, and a shootout in the crime lab may confirm their suspicions. Director: Kenneth Fink | Stars: Laurence Fishburne , Marg Helgenberger , George Eads , Eric Szmanda Votes: 698"
If I Had a Hammer...,"47. CSI: Crime Scene Investigation (2000–2015) Episode: If I Had a Hammer... (2009) TV-14 | 60 min | Crime, Drama, Mystery 8.2 Rate this A case from Catherine's past is reopened when a man who has been in prison for 18 years challenges the evidence that convicted him. Director: Brad Tanenbaum | Stars: Laurence Fishburne , Marg Helgenberger , George Eads , Eric Szmanda Votes: 661"
Post Mortem,"48. CSI: Crime Scene Investigation (2000–2015) Episode: Post Mortem (2006) TV-PG | 43 min | Crime, Drama, Mystery 8.2 Rate this Greg has his day in court for running over and killing a street gang member right before his own beating, and a second crime scene replica is found--this time after the murder of an elderly woman. Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 759"
Bang-Bang,"49. CSI: Crime Scene Investigation (2000–2015) Episode: Bang-Bang (2006) TV-14 | 50 min | Crime, Drama, Mystery 8.2 Rate this Mrs. Cutler is found dead, shot through the mouth, in her own home, which shows no signs of forced entry or disturbances. Her husband, Mr. William Cutler, is missing, only to be found later... See full summary » Director: Terrence O'Hara | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 718"
Who Shot Sherlock?,"50. CSI: Crime Scene Investigation (2000–2015) Episode: Who Shot Sherlock? (2005) TV-14 | 60 min | Crime, Drama, Mystery 8.2 Rate this Greg is doing his final proficiency test and he has a case to solve. Ironically, he investigates the death of a Sherlock Holmes- wannabe, obsessive to the point of recreating the great ... See full summary » Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 765"
Slaves of Las Vegas,"51. CSI: Crime Scene Investigation (2000–2015) Episode: Slaves of Las Vegas (2001) TV-14 | 45 min | Crime, Drama, Mystery 8.2 Rate this The death of a woman named Mona whose body was dumped in a sand pit leads Grissom and Catherine to a fetish club run by Lady Heather. Since Mona was a dominant, Lady Heather was surprised ... See full summary » Director: Peter Markle | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 894"
"Kiss Kiss, Bye Bye","52. CSI: Crime Scene Investigation (2000–2015) Episode: Kiss Kiss, Bye Bye (2006) TV-14 | 46 min | Crime, Drama, Mystery 8.2 Rate this Someone tries to kill a diva called Lois O'Neill, who was related to the mafia years ago, and a waiter is killed instead. The CSI investigates the case, but more than ever, nothing is what it seems. Director: Danny Cannon | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 780"
Invisible Evidence,"53. CSI: Crime Scene Investigation (2000–2015) Episode: Invisible Evidence (2003) TV-14 | 45 min | Crime, Drama, Mystery 8.2 Rate this Because Warrick naively assumed simple uniformed cop Hal Watson would have arranged a search warrant, the crucial weapon in the rape and murder trial on a neighbor against Michael Fife is ... See full summary » Director: Danny Cannon | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 730"
Iced,"54. CSI: Crime Scene Investigation (2000–2015) Episode: Iced (2005) TV-14 | 44 min | Crime, Drama, Mystery 8.2 Rate this Greg and Sara work on a case of two university students who mysteriously end up dead in a dorm room. Catherine, Warrick, and Nick investigate the death of a man found in what looks like a ... See full summary » Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 711"
Boom,"55. CSI: Crime Scene Investigation (2000–2015) Episode: Boom (2001) TV-14 | 46 min | Crime, Drama, Mystery 8.2 Rate this A bomb in a brief case goes off in the lobby of an office building. The team must piece together all the parts of this bomb to look for the maker's signature. Nick becomes involved in a ... See full summary » Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 866"
Anonymous,"56. CSI: Crime Scene Investigation (2000–2015) Episode: Anonymous (2000) TV-14 | 45 min | Crime, Drama, Mystery 8.2 Rate this Grissom, Catherine and Sara investigate an apparent suicide but soon realize that the death has not only been staged but is almost identical to a case they investigated several months ... See full summary » Director: Danny Cannon | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 924"
Skin in the Game,"57. CSI: Crime Scene Investigation (2000–2015) Episode: Skin in the Game (2013) TV-14 | 43 min | Crime, Drama, Mystery 8.1 Rate this CSI searches for a serial killer inspired by Dante's ""Inferno,"" and Brass's daughter may be one of the killer's next victims. Director: Alec Smight | Stars: Ted Danson , Elisabeth Shue , George Eads , Jorja Fox Votes: 421"
Tell-Tale Hearts,"58. CSI: Crime Scene Investigation (2000–2015) Episode: Tell-Tale Hearts (2011) TV-14 | 44 min | Crime, Drama, Mystery 8.1 Rate this The task of solving the grisly quadruple homicide of an entire family becomes more complicated when three people confess to the crime. Director: Brad Tanenbaum | Stars: Ted Danson , Marg Helgenberger , George Eads , Jorja Fox Votes: 656"
The Theory of Everything,"59. CSI: Crime Scene Investigation (2000–2015) Episode: The Theory of Everything (2008) TV-14 | 43 min | Crime, Drama, Mystery 8.1 Rate this While investigating a series of unusual deaths, the team discovers that all of the victims are tied together through a strange set of circumstances. Director: Christopher Leitch | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 713"
Goodbye and Good Luck,"60. CSI: Crime Scene Investigation (2000–2015) Episode: Goodbye and Good Luck (2007) TV-PG | 60 min | Crime, Drama, Mystery 8.1 Rate this The murder of a co-ed leads to the investigation of a brother and sister who were involved in another murder case from Sara's past, and the case drives Sara over the edge. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 809"
Leaving Las Vegas,"61. CSI: Crime Scene Investigation (2000–2015) Episode: Leaving Las Vegas (2007) TV-PG | 45 min | Crime, Drama, Mystery 8.1 Rate this Catherine tries to link an accused killer to a second similar crime in a small town after he is found not guilty in the first trial, and Gil announces that he is going on sabbatical. Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 732"
Still Life,"62. CSI: Crime Scene Investigation (2000–2015) Episode: Still Life (2005) TV-14 | 44 min | Crime, Drama, Mystery 8.1 Rate this The CSI team is called to help when Karen Mathews reports her son, Jesse, missing from a playground where he was playing on the swings. Witnesses report seeing a man with a blue baseball ... See full summary » Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 708"
Spark of Life,"63. CSI: Crime Scene Investigation (2000–2015) Episode: Spark of Life (2005) TV-14 | 43 min | Crime, Drama, Mystery 8.1 Rate this Greg, Sara, and Gil Grissom investigate a scene of bush fire which led to the death of man and the 3rd degree burn of another woman. Catherine, Nick and Warrick solve a case involving the ... See full summary » Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 689"
Play with Fire,"64. CSI: Crime Scene Investigation (2000–2015) Episode: Play with Fire (2003) TV-14 | 44 min | Crime, Drama, Mystery 8.1 Rate this A woman dies at a high school football field. She has been associated with a recently released prisoner. Greg's DNA lab explodes and evidence is destroyed in the fire. Warrick and Catherine... See full summary » Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 747"
"Gentle, Gentle","65. CSI: Crime Scene Investigation (2000–2015) Episode: Gentle, Gentle (2001) TV-PG | 46 min | Crime, Drama, Mystery 8.1 Rate this A kidnapping case becomes unusually personal to the usually detached Grissom. The 4-month old baby, Zach Anderson, was allegedly kidnapped from his home. A ransom note, found by his mother,... See full summary » Director: Danny Cannon | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 833"
Down the Drain,"66. CSI: Crime Scene Investigation (2000–2015) Episode: Down the Drain (2004) TV-14 | 45 min | Crime, Drama, Mystery 8.1 Rate this The team is called in to investigate a dead body found in the drain. The cause of death is quickly concluded as an accident. However, Catherine and Warrick discover pieces of badly ... See full summary » Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 719"
Chaos Theory,"67. CSI: Crime Scene Investigation (2000–2015) Episode: Chaos Theory (2001) TV-PG | 44 min | Crime, Drama, Mystery 8.1 Rate this The detectives hunt for clues relating to a missing college freshman. Their hope of finding her alive diminishes as all of their leads on her turn cold. Director: Kenneth Fink | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 843"
And Then There Were None,"68. CSI: Crime Scene Investigation (2000–2015) Episode: And Then There Were None (2001) TV-PG | 41 min | Crime, Drama, Mystery 8.1 Rate this A casino was brutally but clumsily robbed by at least four trigger-happy fiends, the men of which wore female wigs. Painstaking identification efforts lead to ex-con serial killer Tammy ... See full summary » Director: John Patterson | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 800"
All for Our Country,"69. CSI: Crime Scene Investigation (2000–2015) Episode: All for Our Country (2003) TV-14 | 43 min | Crime, Drama, Mystery 8.1 Rate this A grossly decomposed corpse in a bath tub is identified as frat student Daniel O'Hannissey. He was last seen in a bar, taking part in a brawl about team sports, but left apparently unhurt. ... See full summary » Director: Richard J. Lewis | Stars: William Petersen , Marg Helgenberger , Gary Dourdan , George Eads Votes: 768"
The End Game,"70. CSI: Crime Scene Investigation (2000–2015) Episode: The End Game (2015) TV-14 | 43 min | Crime, Drama, Mystery 8.0 Rate this A final showdown between the CSIs and the Gig Harbor Killer, whose motives are revealed. Meanwhile, Nick Stokes makes a decision that affects the team moving forward. Director: Alec Smight | Stars: Ted Danson , Elisabeth Shue , George Eads , Jorja Fox Votes: 399"
Check In and Check Out,"71. CSI: Crime Scene Investigation (2000–2015) Episode: Check In and Check Out (2013) TV-14 | 43 min | Crime, Drama, Mystery 8.0 Rate this The team deals with a third grisly homicide case that happens in same seedy hotel room in a couple of months. Director: Louis Shaw Milito | Stars: Ted Danson , Elisabeth Shue , George Eads , Jorja Fox Votes: 382"
